"";"genome_id"
"12662";"46170.137"
"12669";"46170.139"
"12676";"46170.138"
"12684";"46170.142"
"12691";"46170.141"
"12698";"46170.140"
"12706";"46170.86"
"12721";"467210.3"
"12722";"46506.7"
"12723";"46680.10"
"12725";"46626.5"
"12751";"470.1293"
"12775";"470.1320"
"12803";"470.1321"
"12832";"470.1292"
"12857";"470.1322"
"12886";"470.1324"
"12915";"470.1323"
"12944";"470.1329"
"12967";"470.1326"
"12998";"470.1327"
"13028";"470.1328"
"13057";"470.1331"
"13084";"470.1325"
"13109";"470.1363"
"13121";"470.1330"
"13148";"470.1332"
"13176";"470.1366"
"13195";"470.1364"
"13211";"470.1365"
"13235";"470.1367"
"13252";"470.1379"
"13283";"470.1376"
"13314";"470.1378"
"13345";"470.1369"
"13371";"470.1377"
"13401";"470.1380"
"13432";"470.1382"
"13438";"470.1381"
"13453";"470.1386"
"13464";"470.1384"
"13479";"470.1383"
"13481";"470.1407"
"13503";"470.1387"
"13534";"470.1410"
"13551";"470.1409"
"13582";"470.1408"
"13604";"470.1411"
"13617";"470.1412"
"13640";"470.1414"
"13664";"470.1418"
"13689";"470.1416"
"13715";"470.1413"
"13731";"470.1415"
"13754";"470.1423"
"13778";"470.1419"
"13802";"470.1420"
"13826";"470.1417"
"13837";"470.1421"
"13850";"470.1422"
"13874";"470.1425"
"13898";"470.1424"
"13922";"470.1426"
"13946";"470.1430"
"13976";"470.1431"
"13996";"470.1427"
"14021";"470.1428"
"14034";"470.1429"
"14047";"470.1432"
"14063";"470.1435"
"14086";"470.1436"
"14110";"470.1433"
"14138";"470.1434"
"14168";"470.1439"
"14189";"470.1442"
"14218";"470.1441"
"14230";"470.1443"
"14251";"470.1440"
"14274";"470.1446"
"14298";"470.1437"
"14320";"470.1438"
"14342";"470.1444"
"14366";"470.1445"
"14389";"470.1449"
"14405";"470.1447"
"14426";"470.1448"
"14452";"470.1450"
"14474";"470.1452"
"14502";"470.1451"
"14532";"470.1454"
"14558";"470.1455"
"14580";"470.1457"
"14594";"470.1453"
"14624";"470.1456"
"14652";"470.1463"
"14661";"470.1462"
"14684";"470.1460"
"14705";"470.1458"
"14726";"470.1459"
"14738";"470146.3"
"14739";"470.1461"
"14757";"470.1465"
"14777";"470.1464"
"14798";"470.1466"
"14822";"470.1467"
"14831";"470.1468"
"14850";"470.1469"
"14875";"470.1470"
"14897";"470.1471"
"14921";"470.1475"
"14951";"470.1476"
"14966";"470.1473"
"14988";"470.1472"
"15004";"470.1477"
"15028";"470.1479"
"15052";"470.1474"
"15075";"470.1483"
"15085";"470.1481"
"15112";"470.1478"
"15138";"470.1482"
"15165";"470.1484"
"15179";"470.1480"
"15203";"470.1489"
"15223";"470.1487"
"15249";"470.1485"
"15272";"470.1490"
"15286";"470.1486"
"15309";"470.1488"
"15338";"470.1495"
"15362";"470.1491"
"15386";"470.1496"
"15410";"470.1492"
"15434";"470.1494"
"15456";"470.1493"
"15480";"470.1497"
"15505";"470.1498"
"15529";"470.1499"
"15551";"470.1511"
"15566";"470.1514"
"15590";"470.1509"
"15607";"470.1512"
"15627";"470.1510"
"15651";"470.1515"
"15663";"470.1513"
"15679";"470.1516"
"15700";"470.1519"
"15719";"470.1518"
"15737";"470.1523"
"15746";"470.1521"
"15764";"470.1520"
"15779";"470.1517"
"15798";"470.1522"
"15816";"470.1525"
"15834";"470.1524"
"15856";"470.1526"
"15871";"470.1527"
